Hours_Studied,Attendance,Parental_Involvement,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Gender,Exam_Score,Study_Efficiency,Wellness_Index
32,86,Medium,6,77,Medium,2,Medium,Low,Private,4,No,High School,Male,71,2752,12.0
14,87,Medium,6,76,Medium,1,Low,Medium,Private,4,No,College,Female,66,1218,12.0
20,60,Medium,4,80,Low,2,High,Medium,Private,3,Yes,College,Male,63,1200,6.0
28,99,Low,8,100,Low,0,Medium,Medium,Public,2,No,High School,Male,72,2772,8.0
20,95,Medium,8,99,Low,1,Low,Medium,Private,3,No,College,Female,70,1900,12.0
23,96,Medium,9,99,Medium,0,High,Medium,Private,2,No,College,Female,71,2208,9.0
14,86,Low,6,77,Medium,3,High,Medium,Private,3,No,High School,Male,65,1204,9.0
23,74,Medium,8,66,Low,0,High,Medium,Public,4,No,Postgraduate,Female,65,1702,16.0
19,96,Low,6,78,High,1,Low,Low,Public,2,No,High School,Male,67,1824,6.0
26,72,High,9,81,High,0,Medium,High,Public,3,No,High School,Male,68,1872,13.5
27,83,Medium,8,66,Medium,3,Medium,Medium,Public,4,No,College,Female,70,2241,16.0
36,64,Medium,5,82,Medium,2,Medium,High,Private,2,No,High School,Female,70,2304,5.0
23,97,Low,7,81,Low,2,Medium,High,Public,3,No,High School,Male,72,2231,10.5
22,66,Medium,4,95,Medium,1,Low,Low,Public,5,No,College,Male,65,1452,10.0
21,69,Medium,5,62,High,2,Low,Medium,Public,3,No,High School,Male,65,1449,7.5
18,82,High,5,85,High,3,Medium,High,Private,4,No,Postgraduate,Male,71,1476,10.0
22,91,High,6,73,Low,3,High,Medium,Public,4,No,Postgraduate,Male,74,2002,12.0
18,85,Low,7,56,Low,0,Low,Medium,Private,4,No,High School,Male,64,1530,14.0
21,69,Medium,7,66,High,1,Medium,Medium,Private,4,No,High School,Female,64,1449,14.0
28,60,Medium,7,53,Low,3,Low,Medium,Private,3,No,High School,Female,65,1680,10.5
14,90,Low,7,66,Medium,1,Medium,Medium,Public,5,No,College,Male,67,1260,17.5
27,99,High,7,53,Low,2,Low,High,Public,3,No,College,Male,73,2673,10.5
28,92,Low,5,96,High,1,Medium,Low,Public,3,No,College,Male,72,2576,7.5
19,78,Medium,7,55,Low,0,Medium,Medium,Public,3,No,College,Male,65,1482,10.5
7,96,Medium,9,91,Medium,0,Low,Medium,Public,4,No,College,Male,67,672,18.0
16,76,Medium,7,95,Low,2,Medium,Medium,Public,3,No,High School,Female,66,1216,10.5
28,81,High,8,73,Low,0,Medium,High,Public,3,No,Postgraduate,Male,70,2268,12.0
20,79,High,8,53,Medium,2,Medium,Medium,Private,3,No,High School,Female,66,1580,12.0
14,78,High,8,80,Low,1,Medium,Medium,Public,1,No,High School,Female,66,1092,4.0
17,91,Medium,7,62,Low,3,High,Medium,Public,3,No,Postgraduate,Male,68,1547,10.5
25,81,Low,8,59,Low,3,Low,Medium,Public,4,No,College,Male,68,2025,16.0
23,73,High,8,78,Low,0,High,Medium,Public,4,No,High School,Female,67,1679,16.0
19,70,High,8,68,High,1,Low,Medium,Public,3,No,College,Female,65,1330,12.0
18,83,High,5,80,High,1,High,High,Public,2,No,College,Male,70,1494,5.0
14,69,Low,5,91,Medium,0,High,Medium,Public,3,No,College,Male,63,966,7.5
30,66,Medium,6,53,Low,2,Low,Medium,Public,2,No,High School,Male,65,1980,6.0
27,87,Medium,7,78,Low,3,Low,Medium,Private,5,No,High School,Female,71,2349,17.5
29,90,High,7,94,Medium,1,Low,Low,Private,4,No,High School,Female,73,2610,14.0
26,80,Medium,4,91,Low,1,Low,Medium,Private,3,No,High School,Male,67,2080,6.0
17,96,High,7,84,Medium,2,Low,High,Private,3,No,College,Female,72,1632,10.5
22,97,Medium,7,79,High,2,Medium,High,Public,0,No,High School,Male,71,2134,0.0
20,92,Medium,4,82,High,0,Medium,Medium,Public,4,No,Postgraduate,Male,72,1840,8.0
15,85,High,7,61,Medium,1,Medium,High,Public,3,No,High School,Male,68,1275,10.5
22,72,Low,5,80,Medium,2,Low,High,Public,3,No,College,Female,65,1584,7.5
13,99,High,6,75,Low,1,Medium,Medium,Public,4,Yes,College,Female,68,1287,12.0
27,71,Medium,8,69,Medium,1,High,Medium,Public,4,No,College,Male,67,1917,16.0
17,68,Medium,7,94,High,1,High,Medium,Private,4,No,College,Female,66,1156,14.0
21,78,Medium,6,91,Medium,0,Medium,Low,Private,1,Yes,High School,Male,64,1638,3.0
22,62,High,6,54,Medium,3,Low,Medium,Private,3,No,Postgraduate,Male,65,1364,9.0
18,99,Medium,6,99,Medium,0,Low,Medium,Public,3,No,High School,Male,69,1782,9.0
24,84,Medium,7,61,Medium,2,Medium,Medium,Public,2,No,High School,Male,68,2016,7.0
17,82,High,5,61,Medium,3,Medium,Medium,Public,4,No,Postgraduate,Male,69,1394,10.0
25,86,Medium,9,97,Low,1,High,Medium,Private,3,No,High School,Male,70,2150,13.5
12,80,High,5,72,Medium,1,High,Medium,Private,4,Yes,High School,Female,65,960,10.0
21,61,Medium,4,90,Low,2,Medium,Low,Public,3,No,High School,Male,63,1281,6.0
32,84,Low,8,64,Medium,1,Low,High,Private,3,No,College,Female,71,2688,12.0
14,89,Medium,6,94,Low,0,Low,Medium,Private,2,No,Postgraduate,Male,68,1246,6.0
23,90,Medium,8,76,High,2,Medium,Low,Public,3,No,High School,Female,72,2070,12.0
21,69,Medium,6,85,Medium,3,Low,Low,Public,1,No,College,Female,64,1449,3.0
22,69,Low,7,98,Low,0,Low,Medium,Public,2,No,Postgraduate,Male,64,1518,7.0
23,66,Medium,8,73,High,2,High,Medium,Public,2,No,College,Female,66,1518,8.0
24,75,Medium,9,75,High,0,Medium,High,Public,3,No,College,Male,69,1800,13.5
27,94,Medium,6,86,Medium,2,Medium,Medium,Private,2,No,High School,Female,71,2538,6.0
22,93,Medium,6,69,High,0,High,Low,Public,3,Yes,High School,Male,69,2046,9.0
19,75,High,8,98,Low,1,Low,Medium,Public,3,No,Postgraduate,Male,67,1425,12.0
24,84,Low,7,52,Medium,0,Low,High,Public,3,No,High School,Male,66,2016,10.5
31,89,Medium,7,70,Medium,2,Low,High,Public,2,No,High School,Female,71,2759,7.0
19,70,Medium,9,86,Low,2,High,Medium,Public,2,Yes,High School,Male,63,1330,9.0
14,67,Medium,4,71,Medium,0,High,Medium,Public,4,No,College,Female,62,938,8.0
27,99,Medium,5,63,Medium,0,Medium,High,Public,4,No,High School,Female,73,2673,10.0
19,85,High,4,71,Low,1,Medium,High,Public,3,No,High School,Female,66,1615,6.0
7,99,High,9,94,Medium,3,High,High,Public,2,No,Postgraduate,Male,72,693,9.0
25,74,High,8,77,Low,1,Low,Medium,Public,2,No,Postgraduate,Female,67,1850,8.0
17,88,Low,5,67,Medium,0,Medium,High,Public,3,No,Postgraduate,Male,65,1496,7.5
19,69,Medium,7,84,Medium,2,Medium,Medium,Public,4,No,High School,Male,66,1311,14.0
22,70,High,7,81,Low,3,Medium,Medium,Public,2,No,Postgraduate,Female,68,1540,7.0
21,80,Medium,4,78,Medium,1,Medium,High,Private,4,No,High School,Female,69,1680,8.0
24,73,High,7,70,Medium,0,High,Medium,Public,3,No,Postgraduate,Female,68,1752,10.5
17,67,Medium,5,54,Medium,0,Low,Medium,Public,2,No,High School,Male,61,1139,5.0
23,71,High,8,81,Medium,3,Medium,High,Private,2,No,High School,Male,68,1633,8.0
18,61,High,5,71,Low,3,High,High,Private,3,No,College,Male,64,1098,7.5
24,88,Medium,7,71,Low,1,Low,High,Public,3,No,College,Male,67,2112,10.5
24,80,Low,9,62,High,3,High,Low,Public,3,No,High School,Male,68,1920,13.5
14,64,Medium,8,62,Low,1,Medium,High,Public,4,Yes,High School,Male,61,896,16.0
27,67,High,8,89,Low,1,Low,Low,Public,3,No,Postgraduate,Female,66,1809,12.0
17,64,High,7,74,Low,2,Medium,Low,Public,2,No,Postgraduate,Female,64,1088,7.0
25,85,Low,5,55,Low,3,High,Medium,Public,3,No,High School,Female,67,2125,7.5
22,64,Medium,6,52,Low,2,High,Medium,Private,4,No,College,Female,64,1408,12.0
31,90,High,7,61,Low,0,Low,Medium,Public,3,No,High School,Male,72,2790,10.5
19,61,Medium,7,74,Low,2,High,Medium,Public,3,No,Postgraduate,Male,62,1159,10.5
18,70,High,5,81,Low,2,Low,Medium,Private,2,No,High School,Female,63,1260,5.0
20,96,High,8,57,Low,1,Low,Medium,Private,4,No,High School,Male,70,1920,16.0
18,89,High,5,72,Low,3,Medium,Medium,Public,3,No,College,Male,69,1602,7.5
25,63,Low,9,54,Medium,3,Medium,Low,Public,2,No,High School,Male,64,1575,9.0
10,93,Low,7,52,Medium,2,Medium,Medium,Public,3,No,Postgraduate,Male,66,930,10.5
14,80,Low,8,93,Medium,3,Low,High,Private,4,No,High School,Female,67,1120,16.0
26,84,Medium,10,89,Medium,0,Low,High,Private,1,No,High School,Female,70,2184,5.0
30,87,Low,7,59,Medium,2,Medium,Medium,Public,3,No,High School,Male,69,2610,10.5
19,100,Medium,6,66,High,0,Low,Medium,Public,3,No,High School,Male,68,1900,9.0
19,69,Medium,6,72,Medium,1,Low,Medium,Public,1,No,College,Female,64,1311,3.0
20,85,High,9,83,Low,3,Medium,Medium,Public,3,Yes,College,Male,70,1700,13.5
27,78,High,5,77,Medium,0,Medium,Low,Private,3,No,Postgraduate,Male,69,2106,7.5
14,62,Medium,6,78,Medium,0,High,Medium,Public,2,No,College,Female,63,868,6.0
21,61,Low,7,58,Medium,1,Medium,Low,Public,3,No,High School,Female,60,1281,10.5
26,65,High,7,74,Medium,2,Low,Medium,Public,4,No,High School,Female,65,1690,14.0
23,86,Medium,8,91,Medium,0,Low,Medium,Public,0,No,High School,Male,67,1978,0.0
21,83,Medium,5,75,Low,1,Medium,Medium,Public,4,No,College,Male,66,1743,10.0
26,82,Low,7,60,Medium,3,Low,Medium,Public,3,No,Postgraduate,Female,68,2132,10.5
24,79,Low,5,88,Medium,0,Medium,Medium,Public,3,No,High School,Female,67,1896,7.5
16,97,Medium,8,57,Low,0,Medium,Medium,Public,4,Yes,High School,Male,68,1552,16.0
9,76,Medium,7,79,Medium,1,Low,Medium,Public,3,No,High School,Female,62,684,10.5
23,85,Low,7,98,High,2,Low,Medium,Public,3,No,Postgraduate,Female,69,1955,10.5
28,91,Medium,6,69,High,1,Medium,High,Private,4,No,High School,Male,73,2548,12.0
19,91,High,6,52,Medium,2,Low,Medium,Public,4,Yes,High School,Male,66,1729,12.0
26,81,Low,5,82,Medium,0,Medium,Medium,Public,5,Yes,Postgraduate,Female,67,2106,12.5
30,94,Medium,8,52,Medium,1,Medium,Low,Public,4,No,High School,Female,71,2820,16.0
28,76,Medium,9,60,Medium,1,Low,Medium,Public,2,No,High School,Male,66,2128,9.0
30,96,High,10,52,Medium,0,High,High,Public,4,No,College,Female,74,2880,20.0
24,70,Medium,8,59,Low,2,Low,High,Public,5,No,High School,Male,67,1680,20.0
20,71,High,6,93,High,2,Medium,High,Public,2,No,Postgraduate,Male,68,1420,6.0
10,62,Medium,6,87,High,2,Low,High,Public,3,No,High School,Male,61,620,9.0
19,92,Medium,8,67,Medium,2,Medium,Medium,Private,2,No,High School,Female,69,1748,8.0
33,69,Medium,7,83,Medium,2,Medium,Low,Public,2,No,Postgraduate,Male,71,2277,7.0
19,69,Medium,7,72,Medium,1,Low,Low,Public,2,No,High School,Female,61,1311,7.0
21,96,Medium,9,53,Medium,0,Low,High,Public,3,No,College,Male,70,2016,13.5
23,93,Medium,6,87,Medium,2,Medium,Medium,Private,3,No,High School,Male,70,2139,9.0
20,82,Medium,9,69,Low,1,Medium,Medium,Public,3,No,College,Male,69,1640,13.5
30,85,High,7,65,High,2,Low,Medium,Public,3,No,High School,Female,70,2550,10.5
21,76,Low,6,50,Low,2,Low,Medium,Public,4,No,Postgraduate,Female,63,1596,12.0
16,97,Medium,7,87,Medium,1,High,Medium,Public,3,No,High School,Female,70,1552,10.5
12,65,Medium,8,57,Medium,1,High,High,Private,5,Yes,High School,Female,61,780,20.0
16,77,Low,6,76,Low,1,Low,Medium,Public,1,No,Postgraduate,Female,64,1232,3.0
20,74,Medium,8,51,High,2,Medium,Medium,Public,3,No,College,Male,65,1480,12.0
17,80,Medium,6,81,Medium,1,Medium,High,Public,1,No,College,Male,65,1360,3.0
16,78,Medium,7,68,High,3,Low,High,Private,3,No,Postgraduate,Female,66,1248,10.5
12,81,High,5,82,Low,1,Medium,High,Public,3,No,High School,Female,66,972,7.5
20,66,Low,8,54,Medium,2,Medium,Low,Public,2,No,Postgraduate,Male,63,1320,8.0
11,81,Low,7,63,Medium,3,Medium,Medium,Public,2,No,Postgraduate,Male,66,891,7.0
25,70,Medium,9,56,High,0,Low,Medium,Public,1,No,High School,Male,64,1750,4.5
20,67,High,8,82,Medium,3,Low,High,Public,4,Yes,High School,Male,65,1340,16.0
11,63,High,7,55,Low,3,High,Medium,Private,1,No,Postgraduate,Male,62,693,3.5
15,77,Medium,8,57,Low,1,Low,Medium,Public,2,No,College,Male,63,1155,8.0
22,85,Medium,9,97,High,0,Medium,High,Public,3,No,College,Male,70,1870,13.5
28,89,Medium,6,71,Low,2,Low,Medium,Private,4,No,College,Male,70,2492,12.0
9,87,Medium,8,56,Medium,1,Medium,High,Public,3,No,College,Female,65,783,12.0
21,79,High,8,52,Medium,1,Low,Medium,Public,3,Yes,High School,Female,66,1659,12.0
19,76,Medium,5,66,Medium,2,Medium,Medium,Private,4,No,College,Female,66,1444,10.0
24,75,Medium,9,95,High,0,Medium,High,Public,2,No,College,Male,68,1800,9.0
21,86,High,5,57,Medium,1,Low,Medium,Private,3,No,High School,Male,68,1806,7.5
18,94,Medium,4,71,Medium,3,High,Low,Public,3,No,College,Female,71,1692,6.0
15,95,Medium,8,90,Low,2,Low,Medium,Private,1,No,Postgraduate,Male,69,1425,4.0
26,67,Medium,5,94,Medium,0,Medium,Medium,Public,2,No,College,Male,68,1742,5.0
20,65,Medium,6,100,Medium,2,Low,High,Public,5,No,High School,Male,67,1300,15.0
31,85,High,8,53,Medium,2,Low,High,Public,3,No,High School,Male,72,2635,12.0
20,72,High,7,90,High,2,Medium,Medium,Public,3,No,High School,Male,68,1440,10.5
16,61,High,6,53,Low,0,High,Medium,Public,4,Yes,High School,Female,60,976,12.0
11,96,Medium,5,66,High,2,Low,Medium,Public,4,No,High School,Male,68,1056,10.0
9,69,High,7,82,High,1,High,High,Public,2,No,High School,Female,65,621,7.0
10,97,Low,8,72,High,0,Low,Medium,Public,3,No,Postgraduate,Female,67,970,12.0
23,91,Medium,10,98,High,0,Low,High,Private,3,No,High School,Female,70,2093,15.0
11,68,Medium,6,91,Low,3,Low,High,Public,2,No,College,Female,61,748,6.0
25,69,High,5,68,Medium,2,High,High,Public,4,No,College,Male,68,1725,10.0
17,81,Medium,7,80,High,1,Low,Medium,Public,3,No,Postgraduate,Female,67,1377,10.5
21,67,Medium,7,52,Medium,3,Low,Medium,Public,3,Yes,High School,Female,62,1407,10.5
30,72,Medium,7,73,Medium,0,High,Medium,Public,4,No,High School,Male,66,2160,14.0
25,73,High,6,80,Medium,3,High,Medium,Public,2,No,High School,Female,69,1825,6.0
18,66,Medium,4,86,Medium,2,Medium,Medium,Public,4,No,College,Female,66,1188,8.0
15,68,Medium,5,95,Medium,0,High,Medium,Public,5,No,College,Female,64,1020,12.5
7,92,High,8,64,High,1,Low,Low,Public,4,No,Postgraduate,Male,66,644,16.0
16,67,Medium,7,95,Low,2,Medium,Medium,Public,5,Yes,High School,Male,63,1072,17.5
19,61,Low,8,83,Low,1,Medium,Medium,Private,3,No,High School,Male,62,1159,12.0
14,85,Medium,8,54,Low,1,High,Medium,Private,4,No,Postgraduate,Male,65,1190,16.0
19,99,Low,8,69,Low,0,High,Medium,Private,2,No,High School,Male,68,1881,8.0
20,73,High,8,74,Low,1,Low,Low,Private,4,No,High School,Male,65,1460,16.0
19,65,Medium,7,68,Low,1,Low,Low,Public,4,No,College,Female,63,1235,14.0
16,83,High,7,56,Medium,3,Medium,Medium,Public,2,No,High School,Male,68,1328,7.0
21,96,Medium,4,78,Low,2,High,Medium,Private,2,No,High School,Male,72,2016,4.0
23,91,High,6,57,Medium,2,Low,Medium,Private,3,No,High School,Male,69,2093,9.0
13,85,Low,6,96,Low,1,Low,High,Public,5,No,Postgraduate,Male,66,1105,15.0
28,73,Low,7,93,High,2,Low,High,Private,3,No,College,Male,68,2044,10.5
19,82,Low,6,74,Medium,1,Medium,High,Public,2,No,High School,Male,64,1558,6.0
20,64,Medium,8,53,Low,1,Low,Medium,Public,2,No,High School,Male,61,1280,8.0
24,87,Low,6,78,High,0,Low,Low,Public,2,Yes,Postgraduate,Male,67,2088,6.0
21,89,Medium,9,80,Medium,0,Medium,Low,Public,3,No,Postgraduate,Male,68,1869,13.5
26,99,Medium,6,94,High,2,Medium,Medium,Public,3,No,High School,Male,74,2574,9.0
22,70,Medium,6,53,Medium,3,Medium,High,Public,2,No,High School,Female,67,1540,6.0
16,61,Medium,6,85,Medium,2,Medium,Medium,Private,3,No,High School,Male,64,976,9.0
22,82,Low,6,78,Medium,3,Medium,High,Public,3,No,High School,Male,69,1804,9.0
13,88,High,9,59,Medium,0,Low,Medium,Private,3,Yes,High School,Female,63,1144,13.5
21,92,Medium,7,56,Medium,0,Low,Medium,Private,4,No,High School,Female,67,1932,14.0
20,68,High,7,85,Medium,1,Medium,Medium,Public,3,No,College,Male,65,1360,10.5
19,81,High,7,100,Medium,1,Low,Medium,Private,5,No,Postgraduate,Female,68,1539,17.5
9,73,Medium,7,95,Medium,3,Low,Medium,Private,3,No,Postgraduate,Male,62,657,10.5
17,94,High,7,78,Medium,1,Low,High,Public,3,No,College,Female,70,1598,10.5
21,79,Low,7,82,Medium,1,High,Medium,Public,3,No,High School,Female,67,1659,10.5
14,83,High,7,95,Low,1,Low,Medium,Private,2,Yes,High School,Female,65,1162,7.0
28,91,Low,5,73,Medium,2,Medium,Medium,Public,2,No,High School,Female,69,2548,5.0
15,73,Medium,7,76,High,2,Low,Medium,Public,4,No,High School,Female,64,1095,14.0
23,71,Medium,8,50,Medium,0,High,Medium,Public,2,No,High School,Female,64,1633,8.0
16,82,Low,7,75,Medium,0,Low,Medium,Public,2,No,Postgraduate,Female,64,1312,7.0
31,69,Medium,9,81,Medium,2,Medium,Medium,Private,2,No,College,Male,67,2139,9.0
13,79,Low,6,58,High,2,Medium,Medium,Public,4,No,College,Male,63,1027,12.0
26,73,High,7,53,Low,3,Medium,High,Private,5,No,High School,Female,68,1898,17.5
26,71,Low,5,77,Low,0,Medium,Medium,Public,5,No,Postgraduate,Male,66,1846,12.5
16,99,Low,7,77,High,0,Low,Medium,Public,3,Yes,High School,Female,68,1584,10.5
28,66,Medium,5,67,Medium,1,High,Medium,Private,1,No,Postgraduate,Female,68,1848,2.5
18,91,Medium,7,94,Medium,3,Low,Medium,Private,2,No,High School,Female,69,1638,7.0
22,99,High,7,65,Medium,3,Low,Low,Public,3,No,Postgraduate,Female,71,2178,10.5
22,61,Low,7,76,Medium,1,High,Medium,Public,3,No,College,Female,65,1342,10.5
19,88,Low,8,59,Medium,2,Medium,Medium,Private,4,No,High School,Male,67,1672,16.0
25,70,Medium,7,51,Medium,1,High,Medium,Public,4,No,College,Female,65,1750,14.0
25,62,High,5,71,Medium,0,Low,High,Private,4,No,High School,Male,65,1550,10.0
28,97,Medium,7,88,High,2,Medium,Medium,Public,2,No,High School,Male,74,2716,7.0
10,60,Medium,7,72,Low,3,Medium,Low,Public,3,No,High School,Male,59,600,10.5
26,84,Medium,7,64,Low,2,High,High,Public,3,No,High School,Male,69,2184,10.5
27,80,Medium,9,80,Medium,0,High,Medium,Public,2,Yes,High School,Male,66,2160,9.0
13,95,Medium,7,69,Medium,1,Low,Low,Public,2,Yes,Postgraduate,Female,66,1235,7.0
18,63,High,8,62,Medium,2,High,Medium,Public,4,No,High School,Female,65,1134,16.0
13,87,High,4,96,Low,3,Low,Low,Public,3,Yes,College,Male,67,1131,6.0
19,87,High,8,77,Low,3,Low,Medium,Private,4,No,High School,Male,69,1653,16.0
18,87,Medium,10,60,High,2,Medium,Medium,Public,3,No,High School,Female,68,1566,15.0
25,98,Medium,9,84,Medium,1,Medium,High,Private,2,No,Postgraduate,Female,73,2450,9.0
28,93,Low,6,90,Medium,1,Low,Medium,Public,2,Yes,High School,Female,71,2604,6.0
28,62,High,10,88,Medium,0,Low,High,Public,2,Yes,Postgraduate,Male,67,1736,10.0
17,79,Medium,7,80,Low,1,High,High,Public,3,No,College,Female,67,1343,10.5
19,76,High,7,76,Medium,0,High,High,Public,2,No,Postgraduate,Male,66,1444,7.0
10,72,Medium,7,89,Medium,3,Medium,Medium,Public,4,No,College,Female,63,720,14.0
15,78,High,7,85,Medium,1,High,Medium,Public,1,No,High School,Male,65,1170,3.5
26,75,Medium,4,79,Medium,2,High,Medium,Public,1,No,College,Male,67,1950,2.0
30,77,Medium,8,83,Medium,1,Low,Low,Public,3,No,College,Male,69,2310,12.0
13,99,Medium,7,58,Medium,1,Low,Medium,Public,2,No,High School,Male,67,1287,7.0
20,97,High,7,97,Low,2,Medium,High,Private,4,No,High School,Female,74,1940,14.0
22,79,High,6,97,Medium,2,High,Medium,Public,2,No,College,Female,69,1738,6.0
15,85,Low,7,89,High,0,Medium,Medium,Public,4,No,College,Female,66,1275,14.0
23,93,High,9,69,Low,0,Medium,Medium,Private,3,Yes,Postgraduate,Male,69,2139,13.5
17,74,Medium,8,58,Low,1,High,Medium,Public,2,No,College,Male,63,1258,8.0
20,77,Medium,7,68,Medium,0,Medium,High,Private,3,No,College,Female,65,1540,10.5
23,76,Low,7,86,Low,1,Low,Medium,Private,4,No,College,Male,64,1748,14.0
20,75,Low,7,67,High,0,Medium,Medium,Private,4,No,High School,Male,64,1500,14.0
17,97,Low,6,90,Low,2,Medium,Low,Public,2,No,High School,Male,69,1649,6.0
19,64,Medium,8,81,High,1,Medium,Medium,Public,3,Yes,High School,Male,62,1216,12.0
18,64,Low,7,97,Low,2,Medium,Low,Private,4,No,College,Male,62,1152,14.0
18,77,Medium,6,95,High,0,Medium,High,Private,2,No,Postgraduate,Female,68,1386,6.0
30,64,Medium,7,86,Low,1,Medium,Medium,Private,3,No,Postgraduate,Female,66,1920,10.5
23,85,Low,8,60,High,2,Medium,Medium,Public,1,Yes,College,Female,68,1955,4.0
24,81,Low,6,61,Low,3,Medium,Medium,Public,3,No,Postgraduate,Male,69,1944,9.0
18,60,Medium,5,69,Medium,0,Medium,Medium,Public,2,No,Postgraduate,Female,62,1080,5.0
27,73,Low,7,91,Medium,2,High,Medium,Public,4,No,College,Female,68,1971,14.0
22,87,Medium,8,60,Low,2,Medium,High,Public,2,No,College,Male,67,1914,8.0
19,79,Low,9,82,Medium,1,Low,Medium,Private,4,No,High School,Male,65,1501,18.0
23,99,Low,9,73,Medium,0,Low,Medium,Public,4,No,College,Male,69,2277,18.0
11,95,Medium,6,81,High,2,Low,Low,Public,3,No,High School,Male,67,1045,9.0
13,74,Low,7,98,High,0,Medium,Medium,Public,3,No,Postgraduate,Female,64,962,10.5
13,62,Low,6,90,Medium,3,High,High,Private,3,Yes,Postgraduate,Female,62,806,9.0
30,96,Medium,9,53,Medium,0,Medium,Medium,Private,3,No,High School,Male,72,2880,13.5
33,93,High,7,98,Low,0,Medium,Medium,Public,2,Yes,High School,Female,74,3069,7.0
24,65,Low,6,79,Low,1,Medium,High,Public,2,No,Postgraduate,Male,66,1560,6.0
23,100,High,4,59,Medium,2,Medium,Medium,Public,4,No,High School,Female,72,2300,8.0
9,70,High,5,81,Medium,1,High,High,Private,4,No,Postgraduate,Female,65,630,10.0
17,89,High,4,52,High,0,Low,Medium,Public,3,No,College,Female,67,1513,6.0
15,96,Medium,5,59,High,2,Medium,High,Private,2,No,High School,Male,70,1440,5.0
16,69,High,10,82,Medium,0,Low,High,Public,1,Yes,High School,Male,62,1104,5.0
19,96,Low,5,70,High,0,Low,Medium,Public,2,No,High School,Male,66,1824,5.0
17,72,Low,5,66,Medium,2,High,High,Public,3,No,College,Male,65,1224,7.5
8,99,Low,6,83,High,2,Medium,High,Public,4,Yes,Postgraduate,Male,70,792,12.0
24,71,High,10,93,Low,2,Medium,Medium,Private,2,Yes,College,Female,69,1704,10.0
14,98,Medium,7,84,Low,3,High,Medium,Public,3,No,High School,Female,70,1372,10.5
21,62,High,8,73,Medium,2,High,Medium,Private,2,No,College,Female,66,1302,8.0
32,88,Medium,7,83,Low,1,Low,High,Private,4,No,Postgraduate,Male,73,2816,14.0
14,81,High,4,85,Low,3,Medium,High,Public,4,No,Postgraduate,Female,69,1134,8.0
5,79,High,9,89,Low,3,Medium,Medium,Private,3,No,College,Female,66,395,13.5
27,88,Medium,7,56,High,2,Low,Medium,Public,4,No,Postgraduate,Female,70,2376,14.0
32,68,High,10,84,Medium,0,Medium,High,Private,2,No,Postgraduate,Male,70,2176,10.0
13,82,High,6,56,High,2,Low,High,Public,4,No,Postgraduate,Male,67,1066,12.0
23,70,Medium,7,73,High,1,Low,Medium,Private,3,No,Postgraduate,Male,68,1610,10.5
17,98,Medium,6,62,Low,1,Medium,Medium,Private,2,No,College,Female,68,1666,6.0
19,61,High,9,67,Medium,0,Low,Medium,Public,2,No,College,Female,61,1159,9.0
36,68,Medium,8,74,High,2,Medium,Medium,Public,3,No,High School,Male,70,2448,12.0
11,70,High,7,95,High,0,Low,High,Public,5,No,College,Male,65,770,17.5
22,77,Low,5,84,Medium,3,High,Medium,Public,2,No,High School,Male,66,1694,5.0
23,69,Medium,6,59,Medium,3,High,Medium,Public,3,No,Postgraduate,Male,67,1587,9.0
27,80,Low,5,94,High,3,High,Medium,Public,3,No,High School,Male,69,2160,7.5
21,95,Medium,9,75,Medium,1,Low,Medium,Public,2,No,College,Male,69,1995,9.0
22,88,Medium,5,60,Low,1,Low,Medium,Public,2,No,High School,Male,67,1936,5.0
18,83,High,9,76,Medium,0,Medium,Low,Private,4,No,High School,Female,66,1494,18.0
22,64,Low,9,60,Medium,1,High,High,Private,2,No,High School,Male,63,1408,9.0
18,88,High,6,68,Low,0,Medium,High,Public,4,No,High School,Female,67,1584,12.0
24,67,High,6,90,Medium,0,Low,Medium,Public,1,No,College,Male,64,1608,3.0
18,91,Medium,6,83,Medium,2,Low,Medium,Private,4,No,High School,Male,68,1638,12.0
22,70,Medium,8,74,Low,2,Low,High,Public,2,No,High School,Male,65,1540,8.0
20,77,Medium,9,61,Medium,2,Medium,Medium,Public,3,No,High School,Male,65,1540,13.5
27,74,Medium,9,64,High,1,Low,Medium,Public,3,No,High School,Male,65,1998,13.5
20,94,Low,6,99,Medium,0,Medium,Medium,Public,4,No,College,Female,70,1880,12.0
9,65,Medium,9,67,Medium,1,High,Medium,Public,3,No,High School,Female,62,585,13.5
28,83,High,9,81,Medium,0,Low,Medium,Public,4,No,High School,Male,68,2324,18.0
15,66,Low,7,75,Low,0,High,High,Public,3,No,College,Male,62,990,10.5
16,88,Medium,7,51,Medium,0,Medium,Medium,Public,3,No,College,Female,68,1408,10.5
16,96,High,9,97,Medium,0,Medium,High,Private,5,No,College,Male,72,1536,22.5
28,77,High,9,54,Low,1,High,Medium,Public,3,No,Postgraduate,Female,70,2156,13.5
7,80,High,9,83,Low,3,Medium,Medium,Public,3,No,High School,Female,62,560,13.5
26,81,Medium,8,87,Medium,2,High,High,Public,1,No,Postgraduate,Male,73,2106,4.0
21,80,High,7,90,High,1,Low,Low,Public,2,No,College,Male,68,1680,7.0
20,83,High,9,87,Low,0,High,Medium,Public,2,No,High School,Male,68,1660,9.0
